id,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions
8679,creative,Create story featuring build automated testing suite for sales audience. 500 words.,medium,83,B,0.54,2,2,2,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8680,video,make design e-learning course module video,low,38,F,0.94,2,1,2,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
8681,other,Strategy for create crisis management protocol in customer service context. Recommendations needed.,medium,68,D,0.39,4,3,4,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8682,post,Write social post about develop mobile responsiveness fix for environment company. Engaging tone.,medium,73,C,0.43,4,2,4,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8683,post,"Role: Social media manager for research brands.
Task: Create a LinkedIn post about write grant proposal.
Instructions: Professional tone, include call-to-action, optimize for engagement.
Constraints: 300 words max, 3-5 hashtags, appropriate for B2B audience.
Output Format: Post text + hashtag suggestions + best posting time.",high,94,A,0.18,5,4,5,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
8684,post,Draft announcement about create FAQ document for customer service community.,medium,83,B,0.44,2,2,2,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
8685,data_analysis,Review design e-learning course module metrics for human resources performance. Find trends.,medium,80,B,0.43,4,4,3,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8686,creative,story write executive briefing,low,26,F,0.63,1,1,1,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
8687,creative,"Role: Scriptwriter for design entertainment.
Task: Write dialogue for a scene where create user authentication system.
Instructions: Reveal character through action and speech, subtext important.
Constraints: 2 characters, 2-page max, natural speech patterns.
Output Format: Scene heading + character dialogue + brief stage directions.",high,88,B,0.12,4,5,4,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
8688,creative,Write creative piece about automate data entry processes in energy context. Engaging style.,medium,73,C,0.54,4,2,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8689,code,"Role: Senior developer specializing in sales systems.
Task: Debug and optimize the following code that generate financial forecasts.
Input Data: [code snippet will be provided]
Instructions: Identify bugs, explain issues, and provide corrected optimized version.
Constraints: Maintain backward compatibility.
Output Format: Bug analysis table + corrected code.",high,90,A,0.16,5,5,5,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
8690,video,develop risk assessment framework movie,low,54,F,0.74,2,2,2,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
8691,document,Write documentation for write job description in finance setting. Clear and thorough.,medium,65,D,0.45,4,3,3,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
8692,video,Make a video about build data pipeline for science training. Keep it under 5 minutes.,medium,78,C,0.31,4,2,2,4,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
8693,creative,Write creative piece about build chatbot for customer support in energy context. Engaging style.,medium,74,C,0.41,2,3,2,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
8694,other,"Role: Strategy consultant for operations organizations.
Task: Develop a strategic recommendation for create crisis management protocol.
Context: Company facing competitive pressure, needs transformation.
Constraints: 3-year horizon, feasible implementation, measurable outcomes.
Output Format: Situation analysis + options + recommendation + implementation roadmap.",high,97,A,0.1,5,4,5,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
8695,video,Create storyboard: write press release in human resources context. Professional quality.,medium,76,C,0.5,4,4,2,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
8696,code,Write code to create competitor analysis for a engineering application. Make sure it works well and handles errors.,medium,70,C,0.52,3,2,4,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8697,report,"Role: Market researcher focusing on energy trends.
Task: Analyze and report on build dashboard for KPI tracking.
Context: Based on survey data from 500 respondents.
Constraints: Include statistical significance, avoid speculation.
Output Format: Methodology + findings + charts description + conclusions.",high,94,A,0.16,4,5,4,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
8698,email,"Role: Executive assistant supporting media leadership.
Task: Write a meeting request email for build API integration.
Context: Scheduling with 5 senior stakeholders across time zones.
Constraints: Clear agenda, include pre-read materials list, propose 3 time slots.
Output Format: Professional email + calendar invite text + agenda outline.",high,98,A,0.21,5,5,4,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
8699,creative,write analyze churn rate factors thing,low,25,F,0.62,2,1,2,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
8700,document,develop quality assurance checklist writeup,low,55,F,0.9,1,1,1,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
8701,video,Script needed for generate financial forecasts video. Educational content for design beginners.,medium,67,D,0.46,2,4,3,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
8702,post,Draft announcement about build chatbot for customer support for technology community.,medium,80,B,0.42,2,3,3,3,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8703,report,Analyze create budget proposal and write report for science leadership. Include findings.,medium,78,C,0.53,4,3,3,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
8704,image,make image build API integration,low,59,F,0.68,1,1,1,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
8705,code,"Role: You are an experienced strategy software engineer.
Task: Write a Python function to create user survey questions.
Instructions: Use clean code principles, include type hints, and add comprehensive docstrings.
Constraints: Function must handle edge cases and return appropriate error messages.
Output Format: Provide the code block followed by 2-3 usage examples.",high,93,A,0.06,5,4,4,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
8706,image,make image create user survey questions,low,39,F,0.87,1,2,1,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
8707,report,findings on write press release,low,56,F,0.94,1,2,2,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
8708,document,Need a guide about design webinar presentation for sales users. Step-by-step format.,medium,74,C,0.46,2,4,3,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8709,post,Post needed: develop risk assessment framework update for environment followers.,medium,79,C,0.41,2,2,4,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8710,video,Make a video about design logo and brand identity for technology training. Keep it under 5 minutes.,medium,81,B,0.36,2,2,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8711,data_analysis,Analyze data on develop content calendar for hospitality insights. Charts and summary.,medium,77,C,0.3,3,3,4,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8712,presentation,powerpoint analyze employee satisfaction data,low,44,F,0.66,2,2,1,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
8713,image,picture of write job description,low,28,F,0.77,1,2,1,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
8714,creative,"Role: Creative writer specializing in agriculture narratives.
Task: Write a short story opening (500 words) about write executive briefing.
Instructions: Establish compelling protagonist, hint at conflict, set tone.
Constraints: Third-person limited perspective, contemporary setting.
Output Format: Story excerpt + character brief + potential plot directions.",high,85,B,0.06,4,5,4,4,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
8715,presentation,"Role: Executive presentation designer for finance consulting.
Task: Create a 12-slide deck about generate financial forecasts.
Instructions: Use data-driven storytelling, include compelling visuals.
Constraints: Each slide max 6 bullet points, consistent branding.
Output Format: Slide outline with content for each slide + speaker notes.",high,87,B,0.1,5,5,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
8716,report,Report needed on build recommendation engine in science sector. Data-driven insights.,medium,69,D,0.49,4,4,4,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
8717,video,"Role: Educational video scriptwriter focusing on sports.
Task: Write a script for an instructional video explaining analyze churn rate factors.
Context: Target audience is beginners with no prior knowledge.
Constraints: Maximum 5 minutes, simple language, include visual cues.
Output Format: Two-column script (visual | audio) with timing markers.",high,93,A,0.18,4,5,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
8718,email,reply to write executive briefing,low,48,F,0.69,2,1,1,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
8719,other,Develop framework for analyze market trends in strategy environment.,medium,80,B,0.32,2,3,2,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
8720,creative,Write creative piece about optimize database queries in engineering context. Engaging style.,medium,81,B,0.31,4,2,4,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8721,other,Outline approach to create crisis management protocol for human resources initiative.,medium,66,D,0.41,4,3,4,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
8722,post,Create content about design marketing campaign visuals for consulting blog. Informative but casual.,medium,75,C,0.32,2,4,4,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8723,data_analysis,analyze develop content calendar,low,50,F,0.61,2,2,1,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
8724,data_analysis,Examine develop risk assessment framework patterns in operations dataset. Provide findings.,medium,83,B,0.32,4,3,2,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8725,image,Design something for create competitor analysis. Should be modern and appealing for education audience.,medium,70,C,0.34,4,3,4,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
8726,post,Create content about analyze employee satisfaction data for environment blog. Informative but casual.,medium,68,D,0.53,3,3,3,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
8727,image,write executive briefing visual,low,35,F,0.8,2,1,1,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
8728,creative,story write press release,low,63,D,0.93,1,1,2,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
8729,document,Write documentation for create training video content in customer service setting. Clear and thorough.,medium,67,D,0.41,4,2,2,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8730,post,"Role: Community manager for hospitality forums.
Task: Draft an announcement post about analyze supply chain efficiency.
Instructions: Clear, enthusiastic, encourage community participation.
Constraints: Include relevant links, moderate length.
Output Format: Post content + formatting suggestions + reply templates.",high,89,B,0.05,5,5,5,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
8731,post,"Role: Content creator for real estate communities.
Task: Write a Twitter thread about write customer case study.
Instructions: Hook in first tweet, educational content, strong conclusion.
Constraints: 8-10 tweets, each under 280 characters.
Output Format: Full thread with engagement prompts for each tweet.",high,98,A,0.06,4,5,4,3,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
8732,creative,"Role: Brand storyteller for consulting companies.
Task: Create a brand origin story about create policy compliance guide.
Instructions: Emotional connection, highlight values, memorable narrative.
Constraints: 400 words, authentic voice, avoid clichés.
Output Format: Narrative story + key themes + usage guidelines.",high,87,B,0.25,5,5,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
8733,email,message about design logo and brand identity,low,48,F,0.95,1,2,1,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
8734,report,Summarize create competitor analysis for operations annual review. Executive summary style.,medium,75,C,0.46,4,4,3,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
8735,post,"Role: Content creator for energy communities.
Task: Write a Twitter thread about build automated testing suite.
Instructions: Hook in first tweet, educational content, strong conclusion.
Constraints: 8-10 tweets, each under 280 characters.
Output Format: Full thread with engagement prompts for each tweet.",high,93,A,0.19,5,5,4,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
8736,document,Need a guide about create user survey questions for retail users. Step-by-step format.,medium,80,B,0.3,2,2,2,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
8737,email,Draft message regarding create stakeholder communication plan for education team. Clear and concise.,medium,66,D,0.46,3,2,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8738,data_analysis,build API integration data check,low,28,F,0.9,2,1,2,2,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
8739,document,Create policy on create stakeholder communication plan for government compliance. Formal language.,medium,81,B,0.53,3,4,4,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8740,email,"Role: Executive assistant supporting operations leadership.
Task: Write a meeting request email for create user authentication system.
Context: Scheduling with 5 senior stakeholders across time zones.
Constraints: Clear agenda, include pre-read materials list, propose 3 time slots.
Output Format: Professional email + calendar invite text + agenda outline.",high,90,A,0.22,5,4,5,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
8741,video,Create storyboard: create user authentication system in finance context. Professional quality.,medium,72,C,0.54,2,3,4,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
8742,data_analysis,data write job description,low,63,D,0.89,2,1,1,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
8743,image,create training video content photo,low,54,F,0.7,2,1,2,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
8744,email,"Role: Professional copywriter for hospitality communications.
Task: Write a cold outreach email for create user authentication system.
Instructions: Personalized opening, clear value proposition, soft CTA.
Constraints: Under 150 words, professional but approachable tone.
Output Format: Subject line options + email body + follow-up sequence.",high,93,A,0.18,4,5,4,4,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
8745,creative,Create story featuring design marketing campaign visuals for strategy audience. 500 words.,medium,66,D,0.42,2,2,2,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
8746,report,findings on analyze supply chain efficiency,low,55,F,0.95,2,2,2,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
8747,code,make something that does design email newsletter template,low,34,F,0.91,2,1,2,1,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
8748,presentation,"Role: Training facilitator for sports programs.
Task: Design a workshop presentation on create crisis management protocol.
Instructions: Include interactive elements and discussion prompts.
Constraints: 45-minute session, accommodate 20 participants.
Output Format: Slide deck outline + facilitator guide + handout content.",high,91,A,0.13,5,4,5,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
8749,presentation,"Role: Executive presentation designer for technology consulting.
Task: Create a 12-slide deck about create crisis management protocol.
Instructions: Use data-driven storytelling, include compelling visuals.
Constraints: Each slide max 6 bullet points, consistent branding.
Output Format: Slide outline with content for each slide + speaker notes.",high,95,A,0.22,5,5,4,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
8750,other,Develop framework for design webinar presentation in strategy environment.,medium,65,D,0.31,4,2,3,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
8751,video,"Role: Corporate video director for real estate communications.
Task: Plan a promotional video showcasing build chatbot for customer support.
Instructions: Highlight key benefits, include testimonials structure.
Constraints: 90 seconds maximum, professional tone.
Output Format: Concept summary + shot list + script outline.",high,94,A,0.18,5,5,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
8752,post,Write social post about build automated testing suite for product management company. Engaging tone.,medium,70,C,0.36,2,2,2,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
8753,image,I need visuals showing analyze churn rate factors. These are for a customer service presentation.,medium,71,C,0.44,2,2,2,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8754,data_analysis,Data task: analyze product usage metrics analysis for healthcare report.,medium,73,C,0.34,3,4,3,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
8755,other,Plan create training video content for education project. Include timeline and resources.,medium,74,C,0.35,4,3,4,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8756,creative,story create policy compliance guide,low,26,F,0.83,1,1,1,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
8757,data_analysis,data create stakeholder communication plan,low,56,F,0.64,1,2,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
8758,email,"Role: Professional copywriter for engineering communications.
Task: Write a cold outreach email for generate financial forecasts.
Instructions: Personalized opening, clear value proposition, soft CTA.
Constraints: Under 150 words, professional but approachable tone.
Output Format: Subject line options + email body + follow-up sequence.",high,87,B,0.19,4,4,5,5,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
8759,data_analysis,Data task: develop mobile responsiveness fix analysis for product management report.,medium,84,B,0.53,2,3,4,4,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
8760,report,Report needed on generate monthly sales reports in strategy sector. Data-driven insights.,medium,79,C,0.5,3,3,4,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8761,video,clip showing create vendor evaluation criteria,low,32,F,0.91,2,2,1,2,Casual tone inappropriate for task | Key parameters missing | Unclear objectives | High risk of misunderstanding
8762,report,Research and report on create competitor analysis affecting marketing operations.,medium,79,C,0.54,4,3,2,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
8763,presentation,create training video content talk slides,low,33,F,0.68,2,2,1,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
8764,code,Write code to build automated testing suite for a design application. Make sure it works well and handles errors.,medium,84,B,0.51,4,3,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8765,presentation,Build presentation for create competitor analysis. Audience: human resources executives.,medium,72,C,0.54,3,3,4,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8766,report,"Role: Senior analyst for nonprofit research.
Task: Write an executive summary for a report on build automated testing suite.
Instructions: Synthesize key findings, highlight actionable insights.
Constraints: Maximum 2 pages, data-backed claims only.
Output Format: Executive summary + key findings + recommendations.",high,93,A,0.12,4,5,4,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
8767,other,"Role: Product manager for sports solutions.
Task: Write product requirements for design marketing campaign visuals.
Instructions: User stories, acceptance criteria, prioritization.
Constraints: MVP scope, 3-month development cycle.
Output Format: PRD with user stories + feature list + success metrics.",high,95,A,0.12,5,5,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
8768,document,Create policy on write executive briefing for human resources compliance. Formal language.,medium,78,C,0.52,3,4,3,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8769,document,document on create policy compliance guide,low,46,F,0.81,2,2,2,1,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
8770,data_analysis,"Role: Research analyst in finance field.
Task: Perform comparative analysis of write technical documentation.
Context: Comparing 3 different approaches/methods over 12-month period.
Constraints: Control for variables, note limitations, statistical rigor.
Output Format: Methodology + comparison table + statistical tests + conclusions.",high,92,A,0.08,5,5,4,5,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
8771,document,"Role: Policy writer for design organizations.
Task: Draft a policy document regarding design logo and brand identity.
Context: Must align with industry regulations and best practices.
Constraints: Formal tone, legally compliant language.
Output Format: Policy statement + scope + procedures + compliance requirements.",high,93,A,0.16,5,4,4,4,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
8772,other,Develop framework for create investor pitch materials in marketing environment.,medium,66,D,0.52,4,3,4,3,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
8773,other,Plan optimize database queries for education project. Include timeline and resources.,medium,75,C,0.48,2,2,3,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
8774,other,Strategy for design e-learning course module in healthcare context. Recommendations needed.,medium,70,C,0.48,2,3,3,2,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
8775,post,build chatbot for customer support announcement,low,32,F,0.93,2,2,2,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
8776,other,help with implement payment processing,low,63,D,0.7,1,1,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
8777,code,code for analyze market trends,low,29,F,0.78,1,1,2,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
8778,document,Write documentation for write press release in manufacturing setting. Clear and thorough.,medium,83,B,0.38,4,4,3,3,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8779,report,findings on develop mobile responsiveness fix,low,26,F,0.68,1,2,2,1,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
8780,report,Research and report on develop quality assurance checklist affecting sports operations.,medium,72,C,0.43,4,4,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8781,post,Draft announcement about analyze employee satisfaction data for education community.,medium,82,B,0.41,4,2,2,2,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
8782,document,Write documentation for write customer case study in strategy setting. Clear and thorough.,medium,81,B,0.45,2,4,3,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
8783,report,Summarize design event invitation for real estate annual review. Executive summary style.,medium,69,D,0.42,4,3,2,4,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8784,image,"Role: Professional graphic designer specializing in government visuals.
Task: Create an image depicting develop mobile responsiveness fix.
Instructions: Use modern design principles with attention to color psychology.
Constraints: Must be suitable for professional presentation, 16:9 aspect ratio.
Output Format: Detailed image description including composition, colors, and mood.",high,87,B,0.18,4,5,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
8785,creative,"Role: Scriptwriter for environment entertainment.
Task: Write dialogue for a scene where build dashboard for KPI tracking.
Instructions: Reveal character through action and speech, subtext important.
Constraints: 2 characters, 2-page max, natural speech patterns.
Output Format: Scene heading + character dialogue + brief stage directions.",high,89,B,0.08,5,4,4,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
8786,data_analysis,"Role: Business intelligence analyst for media operations.
Task: Create a dashboard specification for tracking develop quality assurance checklist.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,97,A,0.23,5,5,4,5,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
8787,code,design webinar presentation script needed asap,low,33,F,0.87,2,2,2,2,Fragmented input | Missing role/task/output elements | Ambiguous scope | Likely to produce poor results
8788,presentation,"Role: Executive presentation designer for consulting consulting.
Task: Create a 12-slide deck about generate monthly sales reports.
Instructions: Use data-driven storytelling, include compelling visuals.
Constraints: Each slide max 6 bullet points, consistent branding.
Output Format: Slide outline with content for each slide + speaker notes.",high,93,A,0.15,5,4,4,5,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
8789,document,write about generate financial forecasts,low,38,F,0.66,1,2,2,1,Unprofessional presentation | No context provided | Task unclear | Cannot determine success criteria
8790,post,Create content about write job description for sports blog. Informative but casual.,medium,67,D,0.46,4,3,4,4,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
8791,data_analysis,"Role: Business intelligence analyst for legal operations.
Task: Create a dashboard specification for tracking analyze supply chain efficiency.
Instructions: Identify KPIs, design layout, specify data sources.
Constraints: Real-time updates, mobile-responsive, executive-friendly.
Output Format: Dashboard mockup description + metric definitions + technical requirements.",high,91,A,0.14,4,4,5,3,Comprehensive structure with all key elements | Domain expertise indicated | Clear deliverable expectations | Quality standards defined
8792,code,Debug this: [code for create user survey questions] - It's for marketing use case.,medium,82,B,0.54,3,3,4,2,Partial structure present but incomplete | Some sections missing | Minor ambiguity in deliverables | Acceptable for basic use
8793,presentation,"Role: Executive presentation designer for consulting consulting.
Task: Create a 12-slide deck about generate financial forecasts.
Instructions: Use data-driven storytelling, include compelling visuals.
Constraints: Each slide max 6 bullet points, consistent branding.
Output Format: Slide outline with content for each slide + speaker notes.",high,86,B,0.13,5,4,4,3,Role establishes authority | Task is specific and measurable | Context aids understanding | Professional presentation expected
8794,image,need graphic for optimize database queries,low,37,F,0.83,1,2,2,1,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
8795,report,"Role: Compliance auditor for environment operations.
Task: Prepare an audit report on develop quality assurance checklist.
Instructions: Document findings with evidence, rate risk levels.
Constraints: Objective tone, cite specific standards/regulations.
Output Format: Executive summary + detailed findings + risk matrix + action items.",high,93,A,0.05,5,4,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
8796,other,"Role: Project manager for manufacturing initiatives.
Task: Create a project plan for implement payment processing.
Instructions: Define scope, milestones, resources, risks.
Constraints: 6-month timeline, budget constraints, 5-person team.
Output Format: Project charter + WBS + timeline + risk register.",high,96,A,0.07,5,4,5,3,Detailed instructions provided | Input data section clarifies scope | Constraints prevent scope creep | Output format enables evaluation
8797,email,"Role: Professional copywriter for energy communications.
Task: Write a cold outreach email for write executive briefing.
Instructions: Personalized opening, clear value proposition, soft CTA.
Constraints: Under 150 words, professional but approachable tone.
Output Format: Subject line options + email body + follow-up sequence.",high,97,A,0.09,4,4,4,3,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
8798,other,Outline approach to analyze customer feedback patterns for consulting initiative.,medium,75,C,0.54,4,4,3,4,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8799,presentation,"Role: Training facilitator for healthcare programs.
Task: Design a workshop presentation on create investor pitch materials.
Instructions: Include interactive elements and discussion prompts.
Constraints: 45-minute session, accommodate 20 participants.
Output Format: Slide deck outline + facilitator guide + handout content.",high,97,A,0.18,4,5,4,4,Well-defined task with context | Multiple relevant sections included | Constraints appropriately specified | Professional tone maintained
8800,creative,Creative content needed: write customer case study theme for nonprofit publication.,medium,76,C,0.44,3,4,3,2,Task understood but details lacking | Missing role specification | Some constraints implied not stated | Could be clearer
8801,post,"Role: Social media manager for entertainment brands.
Task: Create a LinkedIn post about create employee onboarding materials.
Instructions: Professional tone, include call-to-action, optimize for engagement.
Constraints: 300 words max, 3-5 hashtags, appropriate for B2B audience.
Output Format: Post text + hashtag suggestions + best posting time.",high,87,B,0.07,4,4,4,4,Clear role assignment establishes expertise | Structured sections aid comprehension | Specific constraints reduce ambiguity | Output format specified for consistency
8802,post,post about develop content calendar,low,48,F,0.87,1,1,1,2,Insufficient detail for execution | No constraints specified | No format guidance | Requires complete rewrite
8803,data_analysis,Review create crisis management protocol metrics for engineering performance. Find trends.,medium,65,D,0.45,3,3,3,3,Understandable intent | Structure inconsistent | Some critical details omitted | Requires clarification for complex execution
8804,creative,Creative content needed: design logo and brand identity theme for retail publication.,medium,74,C,0.41,4,3,3,2,Functional but not optimized | Missing output format specification | Constraints vague | Adequate for simple tasks
8805,data_analysis,analyze design webinar presentation,low,61,D,0.83,1,1,2,2,No structure or organization | Extremely vague request | Missing critical information | High hallucination risk
8806,creative,Write creative piece about create investor pitch materials in science context. Engaging style.,medium,82,B,0.54,3,4,3,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
8807,email,Compose response about create training video content for sports inquiry.,medium,84,B,0.45,2,2,3,3,Basic structure exists | Key information partially provided | Some context missing | Acceptable with follow-up questions
